period,grid_cell,CTI
P1,2286,9.73504686856722
P1,2312,10.551814424589915
P1,2313,10.534723162064415
P1,2320,10.387810931251273
P1,2326,10.219961189398406
P1,2327,10.188018433643252
P1,2328,10.155089590848073
P1,2329,10.12134222937287
P1,2330,10.08701057326775
P1,2331,10.052389970989115
P1,2332,10.017819909185672
P1,2333,9.983657562831713
P1,2334,9.950246878882409
P1,2335,9.917891071965634
P1,2336,9.88684052961334
P1,2337,9.857312743410485
P1,2338,9.829557958320251
P1,2339,9.803954776654882
P1,2340,9.78106232122552
P1,2341,9.76154193529451
P1,2342,9.745961976904495
P1,2343,9.734615996044008
P1,2344,9.727466823403377
P1,2345,9.72421446739437
P1,2346,9.724412293725537
P1,2347,9.72756321497179
P1,2348,9.73316996882704
P1,2349,9.74074900454906
P1,2350,9.749830791316313
P1,2351,9.759964145856161
P1,2352,9.770730236265045
P1,2353,9.781762575762075
P1,2354,9.79276554888867
P1,2355,9.803524831380878
P1,2356,9.813906393481536
P1,2357,9.823844623367103
P1,2358,9.83899284667499
P1,2359,9.879057595669622
P1,2384,10.622460724896307
P1,2385,10.606663554940956
P1,2386,10.589968540329659
P1,2390,10.513717623677453
P1,2392,10.469565541112877
P1,2393,10.44589462099184
P1,2394,10.421129393511658
P1,2395,10.395254098680569
P1,2397,10.340190199498497
P1,2398,10.311083345537705
P1,2399,10.281056653133607
P1,2400,10.25028262318848
P1,2401,10.21900029334128
P1,2402,10.187508338112591
P1,2403,10.156144867253937
P1,2405,10.095153536192361
P1,2406,10.066085246662192
P1,2407,10.038207767418749
P1,2408,10.011602552550059
P1,2409,9.986333963368411
P1,2410,9.962553120368085
P1,2411,9.940603664174354
P1,2412,9.92103410972275
P1,2413,9.90445616922726
P1,2414,9.891327373942847
P1,2415,9.881807824211073
P1,2416,9.87575598844862
P1,2417,9.872816959783524
P1,2418,9.87252722602632
P1,2419,9.874391229639253
P1,2420,9.877923281934509
P1,2421,9.882668165490092
P1,2422,9.888214563824045
P1,2423,9.894207830461838
P1,2424,9.90036172940395
P1,2425,9.906465795780779
P1,2426,9.912385217457325
P1,2427,9.918052121548863
P1,2428,9.923449586541011
P1,2429,9.92863132714172
P1,2430,9.93229618198775
P1,2431,9.943254485665022
P1,2456,10.685579128689293
P1,2457,10.685166862383912
P1,2458,10.670103224827214
P1,2462,10.600131708920966
P1,2464,10.559321712764316
P1,2466,10.514395937591505
