variable,importance,draw,group
delta_forest,0.01237968494973492,182,landuse_change
delta_impervious,0.03096778102736359,182,landuse_change
delta_natural,0.01587295231991327,182,landuse_change
delta_hfi,0.015894752671481813,182,human_change
bio11,0.026342208669108014,182,baseline
elev_mean,0.04731589070407825,182,baseline
centroid_lon,0.13670042671367907,182,baseline
centroid_lat,0.02796867872765099,182,baseline
delta_t_mean,0.012654544628623053,280,climate_change
delta_t_extreme,0.0335818472491397,280,climate_change
delta_forest,0.011171659882935479,280,landuse_change
delta_impervious,0.01974800028297677,280,landuse_change
delta_natural,0.011244332980559392,280,landuse_change
delta_hfi,0.009245340202104917,280,human_change
bio11,0.030688007342819405,280,baseline
elev_mean,0.026030402059225067,280,baseline
centroid_lon,0.10557668316549197,280,baseline
centroid_lat,0.02344952086512443,280,baseline
delta_t_mean,0.01889414667130269,87,climate_change
delta_t_extreme,0.04348668045945887,87,climate_change
delta_forest,0.009549895910781593,87,landuse_change
delta_impervious,0.02457054181081537,87,landuse_change
delta_natural,0.012997826379612842,87,landuse_change
delta_hfi,0.012955821630016452,87,human_change
bio11,0.047023158761798585,87,baseline
elev_mean,0.026673231727240523,87,baseline
centroid_lon,0.14916990766902552,87,baseline
centroid_lat,0.02737825448421342,87,baseline
delta_t_mean,0.014225467537167911,104,climate_change
delta_t_extreme,0.03780711576700827,104,climate_change
delta_forest,0.007357579162693226,104,landuse_change
delta_impervious,0.014739342399260459,104,landuse_change
