species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Ixobrychus flavicollis,theil_sen,0.016548883110718532,0.011830519090329674,-0.011119798879364859,0.009881728331751247,0.017756403436589713,0.0243596596511203,0.036199908582513124,0.925,0.075
Pterorhinus lanceolatus,theil_sen,0.020773594346500664,0.006696758244741494,0.006344782226572624,0.01713695763464445,0.021122449226797898,0.02533457731065057,0.03247581004918801,0.9925,0.0075
Agropsar sturninus,theil_sen,0.029810752521449362,0.020326808410157268,-0.011627060054770176,0.01741501825166657,0.029747739255973387,0.04334910897508387,0.06603778029695417,0.91,0.09
Paradoxornis heudei,theil_sen,0.009674143221094353,0.00595885895428546,-0.0023719368836260957,0.006524049974169889,0.009658130547177492,0.013478071388069364,0.021053510224809904,0.93,0.07
Erpornis zantholeuca,theil_sen,0.011314252095997436,0.00392258782480933,0.0029619696538302175,0.008998526561120681,0.011417014124703084,0.013919480733880786,0.018233988772794207,0.9875,0.0125
Jynx torquilla,theil_sen,0.04959454005453124,0.0259845399822615,0.0017898481223139807,0.03153243135277993,0.04927623085402684,0.06791364625231508,0.1029493745170937,0.98,0.02
Procarduelis nipalensis,theil_sen,-0.008165591081744139,0.01150063626192516,-0.033518116110964204,-0.014501054619120482,-0.00745784276027615,-2.3668490886856954e-4,0.011924346901754417,0.245,0.755
Phylloscopus goodsoni,theil_sen,0.016306385384540326,0.00537793260792949,0.004822392299877087,0.012723281870229444,0.016691274045147475,0.020114795287035823,0.026184248427192126,0.9975,0.0025
Heterophasia desgodinsi,theil_sen,0.010467693746366143,0.005043933769925035,-2.862505101808951e-4,0.007021499305962322,0.010703629376585214,0.01436653442878522,0.01883301722753409,0.9725,0.0275
Coloeus dauuricus,theil_sen,-0.030837102090046038,0.012643945914629907,-0.05383396434503189,-0.04019937262354878,-0.031103898370121577,-0.021863677544247156,-0.006166326722892409,0.01,0.99
Aythya fuligula,theil_sen,0.012906530445496734,0.020209146093735548,-0.031138142733692326,-0.0010015203699291278,0.014358589798439493,0.028678111849920734,0.04660652024067124,0.7425,0.2575
Erythrogenys gravivox,theil_sen,0.03475933020416547,0.009945276446998894,0.01572761450999167,0.02805393402201528,0.035487551514551505,0.04152993593363105,0.05264097483770924,0.9975,0.0025
Minla ignotincta,theil_sen,0.0044548776666008425,0.007085000642561323,-0.009517712357180961,-4.1891737386190713e-4,0.004588773027084218,0.00919005247892754,0.017744136749967148,0.725,0.275
Acridotheres tristis,theil_sen,0.04302755805628041,0.006954013985459781,0.030415750125485124,0.03882227757269853,0.04280224038786857,0.047508681433947667,0.05805439000701609,1,0
Cyornis hainanus,theil_sen,0.0013428671279800668,0.004146412246075847,-0.007371464922727315,-0.0011563001382965173,0.0014447330083591859,0.004201636693922092,0.00865263645732779,0.635,0.365
Oenanthe deserti,theil_sen,0.0030368998730652946,0.005403854233888909,-0.00787399125455206,-0.0010113046704307044,0.003222785519230307,0.007203502496727063,0.012476626063771814,0.705,0.295
Sylviparus modestus,theil_sen,-0.006851800696661831,0.00983749124852928,-0.025535989688708256,-0.013634008229568333,-0.006413454341063485,-3.073701487699577e-4,0.012549814496681275,0.2375,0.7625
Merops viridis,theil_sen,0.009450422598011982,0.007202071182061293,-0.006790470362283298,0.00499208617078342,0.010322362501782771,0.01424632228270886,0.021538732812635103,0.8975,0.1025
